File	LNet	LNet conf.	Orig.	Orig. Conf
00221223-screenshot.png	None	0.6375096	None	None
00221292-screenshot.png	None	0.67740643	None	None
00221206-screenshot.png	None	0	None	None
00221222-screenshot.png	None	0.6375096	None	None
00221239-screenshot.png	None	0.75475174	None	None
00221213-screenshot.png	None	0	None	None
00221291-screenshot.png	None	0.6285496	None	None
00221234-screenshot.png	DHL Airways	0.92543226	DHL Airways	0.92543226
00221398-screenshot.png	Amazon	0.9634301	Amazon	0.9634301
00221455-screenshot.png	Microsoft	0.8868965	Microsoft	0.8868965
00221478-screenshot.png	Huntington Bank	0.966781	Huntington Bank	0.966781
00221446-screenshot.png	None	0.7172661	None	None
00221410-screenshot.png	Facebook	0.9494384	Facebook	0.9494384
00221466-screenshot.png	DHL Airways	0.9424486	DHL Airways	0.9424486
00221431-screenshot.png	None	0.66752183	None	None
00221522-screenshot.png	Facebook	0.97285485	Facebook	0.97285485
00221457-screenshot.png	LinkedIn Corporation	0.91937864	LinkedIn Corporation	0.91937864
00221408-screenshot.png	None	0.69993234	None	None
00221421-screenshot.png	None	0.7002505	None	None
00221485-screenshot.png	Amazon	0.96584225	Amazon	0.96584225
00221547-screenshot.png	PayPal	0.93745273	PayPal	0.93745273
00221517-screenshot.png	None	0.5583985	None	None
00221540-screenshot.png	Huntington Bank	0.966781	Huntington Bank	0.966781
00221527-screenshot.png	PayPal	0.95151573	PayPal	0.95151573
00221479-screenshot.png	TD Bank Group	0.92520225	TD Bank Group	0.92520225
00221508-screenshot.png	DHL Airways	0.9296841	DHL Airways	0.9296841
00221407-screenshot.png	None	0.7070473	None	None
00221439-screenshot.png	None	0.61993897	DHL Airways	0.94658315
00221447-screenshot.png	None	0.75175655	None	None
00221424-screenshot.png	None	0	None	None
00221480-screenshot.png	TD Bank Group	0.91986775	TD Bank Group	0.91986775
00221403-screenshot.png	Caixa Economica Federal	0.96759623	Caixa Economica Federal	0.96759623
00221406-screenshot.png	None	0.6858847	None	None
00221494-screenshot.png	None	0	None	0
00221426-screenshot.png	Spotify	0.9769633	Spotify	0.9769633
00221484-screenshot.png	Netflix	0.9683852	Netflix	0.9683852
00221539-screenshot.png	None	0.64590514	None	None
00221462-screenshot.png	None	0.6280914	None	None
00221526-screenshot.png	Facebook	0.9153029	Facebook	0.9153029
00221680-screenshot.png	PayPal	0.95352113	PayPal	0.95352113
00221662-screenshot.png	None	0	None	None
00221672-screenshot.png	Facebook	0.9725746	Facebook	0.9725746
00221551-screenshot.png	Facebook	0.9735421	Facebook	0.9735421
00221604-screenshot.png	Bet365	0.9204911	Bet365	0.9204042
00221633-screenshot.png	Facebook	0.894978	Facebook	0.894978
00221660-screenshot.png	Bankia	0.87688905	Bankia	0.87688905
00221698-screenshot.png	None	0.6397948	None	None
00221701-screenshot.png	Microsoft	0.96696293	Microsoft	0.96696293
00221552-screenshot.png	1&1 Ionos	0.94195294	1&1 Ionos	0.94195294
00221582-screenshot.png	None	0.67188036	None	None
00221625-screenshot.png	Instagram	0.9530036	Instagram	0.9530036
00221648-screenshot.png	Facebook	0.91709244	Facebook	0.91709244
00221554-screenshot.png	1&1 Ionos	0.94195294	1&1 Ionos	0.94195294
00221697-screenshot.png	None	0.6397948	None	None
00221609-screenshot.png	None	0.7002505	None	None
00221623-screenshot.png	La Banque postale	0.9407171	La Banque postale	0.9407171
00221611-screenshot.png	None	0	None	0
00221586-screenshot.png	None	0.67127824	None	None
00221780-screenshot.png	Credit Agricole S.A	0.9514838	Credit Agricole S.A	0.9514838
00221779-screenshot.png	None	0.6894554	None	None
00221786-screenshot.png	DHL Airways	0.93905455	DHL Airways	0.93905455
00222108-screenshot.png	None	0.7028442	None	None
00222097-screenshot.png	None	0	None	0
00222107-screenshot.png	None	0.61993897	DHL Airways	0.94658315
00222096-screenshot.png	None	0	None	0
00222446-screenshot.png	None	0.7642262	None	None
00222462-screenshot.png	AT&T	0.96603745	AT&T	0.96603745
00222457-screenshot.png	AT&T	0.9453494	AT&T	0.9453494
00222464-screenshot.png	AT&T	0.9939097	AT&T	0.93034315
00222450-screenshot.png	AT&T	0.9863969	AT&T	0.9863969
00222452-screenshot.png	AT&T	0.9863969	AT&T	0.9863969
00222447-screenshot.png	None	0.6375096	None	None
00222463-screenshot.png	AT&T	0.9453494	AT&T	0.9453494
00222454-screenshot.png	None	0	AT&T	0.9838731
00222440-screenshot.png	None	0.75332236	None	None
00222476-screenshot.png	None	0.7255477	None	None
00222478-screenshot.png	eBay	0.9786483	eBay	0.9786483
00222466-screenshot.png	AT&T	0.9528346	AT&T	0.9528346
00222927-screenshot.png	None	0.82664025	None	None
00222860-screenshot.png	None	0.69149095	None	None
00222907-screenshot.png	None	0.67833304	None	None
00222926-screenshot.png	AT&T	0.9832501	AT&T	0.97793436
00222920-screenshot.png	Bancolombia	0.9817103	Bancolombia	0.9817103
00222989-screenshot.png	None	0.69112885	None	None
00222921-screenshot.png	Bancolombia	0.9817103	Bancolombia	0.9817103
00222985-screenshot.png	None	0.6155039	None	None
00222876-screenshot.png	Bank of America	0.98205173	Bank of America	0.98205173
00223002-screenshot.png	Instagram	0.9577055	Instagram	0.9577055
00222870-screenshot.png	None	0.82664025	None	None
00223023-screenshot.png	None	0.8243598	Microsoft	0.9083148
00222988-screenshot.png	ING	0.94690305	ING	0.94690305
00222873-screenshot.png	None	0	None	None
00222864-screenshot.png	None	0.6199256	None	None
00222924-screenshot.png	Bancolombia	0.9817103	Bancolombia	0.9817103
00222998-screenshot.png	None	0	None	None
00222925-screenshot.png	Bancolombia	0.9817103	Bancolombia	0.9817103
00223009-screenshot.png	None	0	None	None
00222994-screenshot.png	None	0.69115174	AT&T	0.9244361
00222922-screenshot.png	Bancolombia	0.9817103	Bancolombia	0.9817103
00222983-screenshot.png	None	0	AT&T	0.9447361
00222976-screenshot.png	Orange	0.87364155	Orange	0.87364155
00222969-screenshot.png	None	0.85271317	None	None
00223236-screenshot.png	Bank of America	0.9740544	Bank of America	0.9740544
00223031-screenshot.png	None	0	None	0
00223049-screenshot.png	None	0.7100934	None	None
00223041-screenshot.png	Chase Personal Banking	0.91388905	Chase Personal Banking	0.91388905
00223097-screenshot.png	None	0	None	None
00223247-screenshot.png	Microsoft	0.9515737	Microsoft	0.9515737
00223234-screenshot.png	Bank of America	0.9736109	Bank of America	0.9736109
00223197-screenshot.png	Facebook	0.9479598	Facebook	0.9479598
00223136-screenshot.png	Chase Personal Banking	0.88027155	Chase Personal Banking	0.88027155
00223209-screenshot.png	None	0.71322894	None	None
00223212-screenshot.png	None	0.76737416	None	None
00223232-screenshot.png	Facebook	0.90610176	Facebook	0.90610176
